perfume_name,brand,gender,accords,short_description,long_description,perfumer,top_notes,middle_notes,base_notes,rating,total_votes,img,logo
Durra The Spirit of Dubai ,The Spirit of Dubai,for women and men,"woody,aromatic,warm spicy,amber,fresh spicy,sweet,leather,musky,smoky,powdery","Durra  by  The Spirit of Dubai  is a Oriental fragrance for women and men.  Durra  was launched in 2017. Top notes are Sea Notes, Watery Notes, Aldehydes, Ozonic notes, Clary Sage, Pine, Lavender, Saffron, Cumin, Artemisia, Coconut, Pepper, Grapefruit, Bergamot, Spices, Nutmeg, Raspberry, Cloves, Bitter Almond, Cardamom, Styrax, Mint, Fruity Notes, Apple, Cinnamon, Violet Leaf and Cypress; middle notes are Agarwood (Oud), Earthy Notes, Birch Leaf, Cashmere Wood, Sandalwood, Woody Notes, Incense, Vanilla, Leather, Myrhh, Guaiac Wood, Honey, Resin, Geranium, Ginger, Olibanum, Rose, Cedar, Jasmine, Lily-of-the-Valley and Labdanum; base notes are Agarwood (Oud), Castoreum, Civetta, Musk, Immortelle, Tolu Balsam, Sandalwood, Precious Woods, Vanilla, Guaiac Wood, Tobacco, Sweet Notes, Vetiver, Tonka Bean, Patchouli, Benzoin, Praline and Amber. ",,,"Sea Notes,Watery Notes,Aldehydes,Ozonic notes,Clary Sage,Pine,Lavender,Saffron,Cumin,Artemisia,Coconut,Pepper,Grapefruit,Bergamot,Spices,Nutmeg,Raspberry,Cloves,Bitter Almond,Cardamom,Styrax,Mint,Fruity Notes,Apple,Cinnamon,Violet Leaf,Cypress","Agarwood (Oud),Earthy Notes,Birch Leaf,Cashmere Wood,Sandalwood,Woody Notes,Incense,Vanilla,Leather,Myrhh,Guaiac Wood,Honey,Resin,Geranium,Ginger,Olibanum,Rose,Cedar,Jasmine,Lily-of-the-Valley,Labdanum","Agarwood (Oud),Castoreum,Civetta,Musk,Immortelle,Tolu Balsam,Sandalwood,Precious Woods,Vanilla,Guaiac Wood,Tobacco,Sweet Notes,Vetiver,Tonka Bean,Patchouli,Benzoin,Praline,Amber",3.69,65,https://fimgs.net/mdimg/perfume/375x500.44158.jpg,https://fimgs.net/mdimg/dizajneri/m.2229.jpg
Bahar The Spirit of Dubai ,The Spirit of Dubai,for women and men,"citrus,woody,aromatic,fresh,aquatic,ozonic,warm spicy,marine,fruity,sweet","Bahar  by  The Spirit of Dubai  is a Oriental Woody fragrance for women and men.  Bahar  was launched in 2015. Top notes are Sea Notes, Citruses, Ozonic notes, Spicy Notes, Bitter Orange, Watery Notes, Violet Leaves, Lime, Grapefruit, Ginger, Lemon, Coconut, Black Currant, Green Notes, Strawberry, Apple, Pineapple, Cherry, Plum, Mandarin Orange, Cardamom and Raspberry; middle notes are Spices, Sandalwood, Violet Leaf, Lotus, Cedar, Cyclamen, Jasmine, Vanilla, Rose, Fir, Cashmere Wood, Iris and Saffron; base notes are Sandalwood, Vetiver, Precious Woods, Vanilla, Amber, Musk, Agarwood (Oud), Patchouli and Immortelle. ","The aquatic fragrance of Bahar, like a wafting sea breeze, is a delicate balance of marine and citrus top notes that give way to flowery middle notes of jasmine, violet leaves, hint of spices, and undertones of sandalwood and vanilla. 
 
The fragrance is held in a bottle that mirrors the tranquility of the ocean, pristine white in color and carved to emulate the rolling of the waves.",,"Sea Notes,Citruses,Ozonic notes,Spicy Notes,Bitter Orange,Watery Notes,Violet Leaves,Lime,Grapefruit,Ginger,Lemon,Coconut,Black Currant,Green Notes,Strawberry,Apple,Pineapple,Cherry,Plum,Mandarin Orange,Cardamom,Raspberry","Spices,Sandalwood,Violet Leaf,Lotus,Cedar,Cyclamen,Jasmine,Vanilla,Rose,Fir,Cashmere Wood,Iris,Saffron","Sandalwood,Vetiver,Precious Woods,Vanilla,Amber,Musk,Agarwood (Oud),Patchouli,Immortelle",4.37,320,https://fimgs.net/mdimg/perfume/375x500.30527.jpg,https://fimgs.net/mdimg/dizajneri/m.2229.jpg
Liberty The Merchant of Venice ,The Merchant of Venice,for women and men,"leather,warm spicy,woody,aromatic,amber,musky,powdery,metallic,patchouli,white floral","Liberty  by  The Merchant of Venice  is a Woody fragrance for women and men.  Liberty  was launched in 2015. Top notes are Saffron and Thyme; middle notes are White Suede, Cedar and White Lily; base notes are Crystal Amber and Patchouli. ","Liberty is a mystical and fascinating fragrance. The heritage of leather is here expressed through an olfactory signature that embodies a warm and spicy accord of saffron, skillfully combined with
delicate, white lily. Oriental and patchouli make the base note particularly rich and give a unique and fascinating signature to this fragrance. 
Liberty by The Merchant of Venice is a Woody fragrance for women and men. This is a new fragrance. Liberty was launched in 2015. Top notes are saffron and thyme; middle notes are white lily, cedar and white suede; base notes are patchouli and crystal amber.",,"Saffron,Thyme","White Suede,Cedar,White Lily","Crystal Amber,Patchouli",4.2,152,https://fimgs.net/mdimg/perfume/375x500.32673.jpg,https://fimgs.net/mdimg/dizajneri/m.1942.jpg
Up To The Moon The House of Oud ,The House of Oud,for women and men,"fruity,floral,sweet,powdery,citrus,white floral,musky,rose,iris,woody","Up To The Moon  by  The House of Oud  is a Oriental Floral fragrance for women and men.  Up To The Moon  was launched in 2020. Up To The Moon was created by Cristian Calabro and Carlo Ribero. Top notes are Tuscan Iris, Neroli, Black Currant, Pear and Grapefruit; middle notes are Magnolia, Damask Rose and Jasmine Sambac; base notes are Raspberry, Madagascar Vanilla, Ambrette (Musk Mallow), Amber, Musk and Sandalwood. ",,"Carlo Ribero,Cristian Calabro","Tuscan Iris,Neroli,Black Currant,Pear,Grapefruit","Magnolia,Damask Rose,Jasmine Sambac","Raspberry,Madagascar Vanilla,Ambrette (Musk Mallow),Amber,Musk,Sandalwood",3.67,175,https://fimgs.net/mdimg/perfume/375x500.62313.jpg,https://fimgs.net/mdimg/dizajneri/m.2667.jpg
Rococo The Merchant of Venice ,The Merchant of Venice,for women and men,"warm spicy,amber,cacao,vanilla,powdery,fresh spicy","Rococo  by  The Merchant of Venice  is a Oriental Floral fragrance for women and men.  Rococo  was launched in 2015. Top notes are Olibanum and Bergamot; middle notes are Heliotrope, Cloves and Jasmine; base notes are Cacao and Benzoin. ","Intimate and embracing, this fragrance is the perfect symbol of a harmony of opposites. The unexpected combination of the dark and mysterious notes of incense with the luminous and soft Tonka bean, is the ideal frame to embellish this olfactory structure, which is expertly formulated around a valuable raw material, cocoa. With its slight poudrÃ©
character, the cocoa is subsequently embraced by delicate notes of jasmine and citrus touches of bergamot. 
Rococo by The Merchant of Venice is a Oriental Floral fragrance for women and men. This is a new fragrance. Rococo was launched in 2015. Top notes are olibanum and bergamot; middle notes are heliotrope, cloves and jasmine; base notes are cacao and benzoin.",,"Olibanum,Bergamot","Heliotrope,Cloves,Jasmine","Cacao,Benzoin",4.14,326,https://fimgs.net/mdimg/perfume/375x500.32674.jpg,https://fimgs.net/mdimg/dizajneri/m.1942.jpg
Byzantium Saffron The Merchant of Venice ,The Merchant of Venice,for women and men,"leather,warm spicy,metallic,musky,woody,amber,powdery,patchouli,aromatic,tobacco","Byzantium Saffron  by  The Merchant of Venice  is a Oriental fragrance for women and men.  Byzantium Saffron  was launched in 2013. Top notes are Saffron, Thyme, Black Pepper and Lemon; middle notes are White Suede, Cedar, White Lily, Rhubarb and Lilac; base notes are Crystal Amber and Indonesian Patchouli Leaf. ","According to Greek mythology, saffron is central to the legend of young Crocus and Smilax. With the classic elegance of its amber notes, Byzantium Saffron embraces and enriches the passion of this ancient idyllic love. These notes,
combined with Indonesian patchouli, make the perfume the olfactory passe-partout of those who love traveling in luxury to the most intriguing and exuberant lands. 
Byzantium Saffron by The Merchant of Venice is a Oriental fragrance for women and men. Byzantium Saffron was launched in 2013. The fragrance features saffron, indonesian patchouli leaf, crystal amber and white suede.",,"Saffron,Thyme,Black Pepper,Lemon","White Suede,Cedar,White Lily,Rhubarb,Lilac","Crystal Amber,Indonesian Patchouli Leaf",3.95,501,https://fimgs.net/mdimg/perfume/375x500.24824.jpg,https://fimgs.net/mdimg/dizajneri/m.1942.jpg
Arabesque The Merchant of Venice ,The Merchant of Venice,for women and men,"warm spicy,sweet,fruity,amber,tobacco,cinnamon,vanilla,aromatic,woody","Arabesque  by  The Merchant of Venice  is a Oriental Woody fragrance for women and men.  Arabesque  was launched in 2015. Top notes are Tobacco Leaf, Plum and Ginger; middle notes are Cinnamon, Tonka Bean and Cedar; base notes are Benzoin, Musk and Vetiver. ","The beauty of the dream-like world of Arabesque is embodied in the nobility of the blue and gold bottle of this fragrance, an aromatic creation of a thousand facets. The overwhelming
combination of tobacco leaves, sweet notes of plum, and frizzy ginger make the fragrance attractive at the very first hint of its head note. The heart note discloses a warm accord of cinnamon
and cedarwood, both exalted by vetiver in the base note and further softened by a delicate musk. 
Arabesque by The Merchant of Venice is a Oriental Woody fragrance for women and men. This is a new fragrance. Arabesque was launched in 2015. Top notes are ginger, tobacco leaf and plum; middle notes are cinnamon, tonka bean and cedar; base notes are benzoin, vetiver and musk.",,"Tobacco Leaf,Plum,Ginger","Cinnamon,Tonka Bean,Cedar","Benzoin,Musk,Vetiver",4.36,885,https://fimgs.net/mdimg/perfume/375x500.32670.jpg,https://fimgs.net/mdimg/dizajneri/m.1942.jpg
Keep Glazed The House of Oud ,The House of Oud,for women and men,"sweet,fruity,tropical,vanilla,lactonic,coconut,citrus","Keep Glazed  by  The House of Oud  is a fragrance for women and men.  Keep Glazed  was launched in 2019. Keep Glazed was created by Cristian Calabro and Andrea (Thero) Casotti. Top notes are Mango, Strawberry Leaf and Iced Lemon; middle notes are Whipped Cream, Coconut and Ginger; base notes are Fruity Notes, Musk and Precious Woods. ","""Keep Glazed, fragrance of THoOâ€™s new olfactory division, was born in collaboration withÂ Ksenia Penkina, renowned Canadian Patisserie, characterized by rigorous and high manual skills and theÂ histrionic founder of the brand, Andrea Casotti. â€œThe perfect recipe? Method, sensitivity and attention to the ingredientsâ€, Andrea Casotti believes that there are many similarities between the two spheres, each Confectioner guards the secrets of his recipes as any master Perfumer; both turn olfactory suggestions into mind sensations. The scent of a pastry that reminds of childhood, the amarcord linked to exciting moments stirred by indelible olfactory traces. 
 The fifth fragranceÂ inebriates us of the bold and delicious scent of tropical fruit, through ingredients like Mango, Coconut, Ginger and Lemon. Thanks to Ksenia Penkinaâ€™s inspirations, skillfully interpreted by Andrea Casotti and synthesized by the creative genius ofÂ Cristian CalabrÃ², we will be able to experience a sweet summer tasting in preview, a temptation for the palate and nose, we will thus wish to extend the intimate moment to try aÂ  â€œ patisserie â€  fragrance. A lively and solar scent, enclosed in the iconic hand-painted bottle, that suggests with its soft colours and original tones, a fresh olfactory texture with lively notes and irresistible ingredients."" - a note from the brand.","Andrea (Thero) Casotti,Cristian Calabro","Mango,Strawberry Leaf,Iced Lemon","Whipped Cream,Coconut,Ginger","Fruity Notes,Musk,Precious Woods",3.79,835,https://fimgs.net/mdimg/perfume/375x500.54849.jpg,https://fimgs.net/mdimg/dizajneri/m.2667.jpg
Grape Pearls The House of Oud ,The House of Oud,for women and men,"fruity,rose,vanilla,sweet,floral,powdery,coffee,musky,amber,warm spicy","Grape Pearls  by  The House of Oud  is a Floral Fruity Gourmand fragrance for women and men.  Grape Pearls  was launched in 2016. Top notes are Blueberry and Floral Notes; middle notes are Rose, Grapes, Coffee and Grape leaves; base notes are Vanilla, White Musk and Amber. ",,,"Blueberry,Floral Notes","Rose,Grapes,Coffee,Grape leaves","Vanilla,White Musk,Amber",3.72,463,https://fimgs.net/mdimg/perfume/375x500.37819.jpg,https://fimgs.net/mdimg/dizajneri/m.2667.jpg
Golden Powder The House of Oud ,The House of Oud,for women and men,"woody,vanilla,warm spicy,powdery,cinnamon,fresh spicy,balsamic,sweet,musky,aromatic","Golden Powder  by  The House of Oud  is a Oriental Spicy fragrance for women and men.  Golden Powder  was launched in 2016. Top notes are Cinnamon and Nutmeg; middle notes are Sandalwood, Guaiac Wood, Virginian Cedar and Papyrus; base notes are Vanilla, Coumarin, Musk, Tobacco Blossom and French labdanum. ",,,"Cinnamon,Nutmeg","Sandalwood,Guaiac Wood,Virginian Cedar,Papyrus","Vanilla,Coumarin,Musk,Tobacco Blossom,French labdanum",4.15,388,https://fimgs.net/mdimg/perfume/375x500.37823.jpg,https://fimgs.net/mdimg/dizajneri/m.2667.jpg
Imperial Emerald The Merchant of Venice ,The Merchant of Venice,for women,"white floral,tuberose,citrus,powdery,amber,animalic,sweet,woody,yellow floral,musky","Imperial Emerald  by  The Merchant of Venice  is a Oriental Floral fragrance for women.  Imperial Emerald  was launched in 2019. Top notes are Iris, Mandarin Orange, Bergamot and Pink Pepper; middle notes are Tuberose, Lily, Ylang-Ylang, Lily-of-the-Valley, Orange Blossom and Rose; base notes are White Musk, Benzoin, Patchouli, Vanilla and Amber. ","Murano Exclusive Collection represents the ideal combination of the highest Venetian craftsmanship with the most refined fragrances created by master perfumers. The collection is now enriched with a new fragrance: Imperial Emerald. 
 Emerald-coloured eyes, the whoosh of a regal garment and the unmistakable scent of timeless elegance: Imperial Emerald is the new seductive fragrance by The Merchant of Venice and takes its inspiration from the peacock, the most enchanting and majestic of creatures. For millennia this bird has inspired myths and legends in both western and eastern cultures, legends that attributed to it the most sublime meanings: beauty, longevity and love, along with vanity, luxury and pride. The dazzling, visual displays generated by its fan-like tail have enchanted and confused the gaze of mortals, as well as the immortals of countless myths. To pay homage to the elegance and wonder of Venice, The Merchant of Venice was inspired by these emerald-green and blue patterns and created this new olfactory masterpiece. The Murano Exclusive line distinguishes itself by its olfactory refinement and high content of essential oils, which generate a long-lasting scented trail. 
 The top is joyful, with splendid modern citrus faceting the fragrance from the top to the dry-down as a caressing shiver to accompany an orris poudrÃ¨ and pink pepper in a passionate crescendo. In the middle a loving tremble, ylang ylang and opulent rose absolute Chile, is joined by a marvelous bouquet of clinking lily of the valley with all the magnificence of night-blooming jasmine, tuberose and orange flowers. The dry-down is warm and rich of white amber and precious benzoin passionately hugged in a seductive dance. A creamy vanilla and the most enveloping musks accompany an innovative patchouli for an unforgettable longlasting trail, for a woman who leaves her mark and is, like her Imperial Emerald, forever. 
 Murano Exclusive is composed by seven exclusive Eau de Parfums ConcentrÃ©e fragrances: Imperial Emerald, CrequelÃ¨, Arabesque, Liberty, Vinegia, RococÃ² and Fenicia. Each one is characterized by a high concentration of fragrance each with its own olfactory signature expertly crafted: the floral and oriental heart notes confer a unique, refined, and definite character to each creation. 
 
Top: Bergamot, Mandarin, Pink Pepper, Iris 
Heart: Ylang Ylang, Rose Absolute, Absolute Lily, Lily of the Valley, Tuberose, Orange Flowers 
Base: Oriental, Vanilla, Benzoin, White Musk, Patchouli 
 Imperial Emerald is available as a 100ml Eau de Parfum Concentree from June 2019. 
Â  
",,"Iris,Mandarin Orange,Bergamot,Pink Pepper","Tuberose,Lily,Ylang-Ylang,Lily-of-the-Valley,Orange Blossom,Rose","White Musk,Benzoin,Patchouli,Vanilla,Amber",4.03,325,https://fimgs.net/mdimg/perfume/375x500.55440.jpg,https://fimgs.net/mdimg/dizajneri/m.1942.jpg
Empathy The House of Oud ,The House of Oud,for women and men,"fruity,sweet,tobacco,woody,oud,floral","Empathy  by  The House of Oud  is a Oriental Floral fragrance for women and men.  Empathy  was launched in 2017. The nose behind this fragrance is Andrea (Thero) Casotti. Top notes are Raspberry Bloom, Pear Blossom and Artemisia; middle notes are Raspberry, Tobacco and Fruity Notes; base notes are Agarwood (Oud), Woody Notes, Spruce, Benzoin and Musk. ","Empathy is a fifth edition of the Arabian gardens inspired Klem Garden collection from The House of Oud, which launches in February 2017. Empathy tries to capture and depict a certain emotion by telling a story of two souls who meet and instantly recognize each other. It is described as ""the olfactory projection of silence"", the silence that says much more than words, goes beyond mere physical attraction and becomes energy. 
 The oriental-fruity composition is signed by perfumer Andrea Thero Casotti. Pear blossom, raspberry flower and davana from India are in the top notes. The heart consists of tobacco with fruity aromas and raspberry infusion. The base ends with Iranian out, benzoin, burnt woods, white spruce and transparent musks. 
 It is available as a 75 ml Eau de Parfum.",Andrea (Thero) Casotti,"Raspberry Bloom,Pear Blossom,Artemisia","Raspberry,Tobacco,Fruity Notes","Agarwood (Oud),Woody Notes,Spruce,Benzoin,Musk",3.73,686,https://fimgs.net/mdimg/perfume/375x500.43565.jpg,https://fimgs.net/mdimg/dizajneri/m.2667.jpg
Dates Delight The House of Oud ,The House of Oud,for women and men,"sweet,vanilla,amber,honey,warm spicy,cinnamon,balsamic","Dates Delight  by  The House of Oud  is a Oriental Vanilla fragrance for women and men.  Dates Delight  was launched in 2016. Top notes are Dates and Peony; middle notes are Cinnamon, Caramel, Tonka Bean and Coumarin; base notes are Honey, Sugar, Vanilla, Benzoin and Labdanum. ",,,"Dates,Peony","Cinnamon,Caramel,Tonka Bean,Coumarin","Honey,Sugar,Vanilla,Benzoin,Labdanum",4.06,812,https://fimgs.net/mdimg/perfume/375x500.37820.jpg,https://fimgs.net/mdimg/dizajneri/m.2667.jpg
Cypress Shade The House of Oud ,The House of Oud,for women and men,"aromatic,green,citrus,woody,soft spicy,powdery,yellow floral,floral,fresh spicy,anis","Cypress Shade  by  The House of Oud  is a Floral Green fragrance for women and men.  Cypress Shade  was launched in 2016. Top notes are Star Anise, Bergamot, Lemon and Mandarin Orange; middle notes are Mimosa, Mint, Coriander and Petitgrain; base notes are Vetiver and Cedar. ",,,"Star Anise,Bergamot,Lemon,Mandarin Orange","Mimosa,Mint,Coriander,Petitgrain","Vetiver,Cedar",3.82,349,https://fimgs.net/mdimg/perfume/375x500.37825.jpg,https://fimgs.net/mdimg/dizajneri/m.2667.jpg
Breath Of The Infinite The House of Oud ,The House of Oud,for women and men,"musky,amber,powdery,floral,woody,fruity","Breath Of The Infinite  by  The House of Oud  is a Floral Woody Musk fragrance for women and men.  Breath Of The Infinite  was launched in 2016. Top notes are Freesia and Peony; middle note is Peach; base notes are Ambroxan, Cashmeran and Musk. ",,,"Freesia,Peony",Peach,"Ambroxan,Cashmeran,Musk",3.59,423,https://fimgs.net/mdimg/perfume/375x500.37821.jpg,https://fimgs.net/mdimg/dizajneri/m.2667.jpg
Metal Flower The Harmonist ,The Harmonist,for women and men,"rose,aldehydic,musky,patchouli,fresh,woody,floral,yellow floral,powdery,sweet","Metal Flower  by  The Harmonist  is a Chypre Floral fragrance for women and men.  Metal Flower  was launched in 2016. Top notes are Aldehydes, Rose Oxide and Orange Blossom; middle notes are Rose de Mai, Bulgarian Rose and Ylang-Ylang; base notes are White Musk and Patchouli. ","Metal Flower is a modern fragrance that captivates the wearer like a glint of light bouncing off a burnished surface. Graceful Bulgarian Rose combines with Rose of May and Patchouli and sharp metallic notes to create a floral trio with an unexpectedly honed edge. Delicate yet deft, itâ€™s a dazzling Yin scent that charms and motivates.",,"Aldehydes,Rose Oxide,Orange Blossom","Rose de Mai,Bulgarian Rose,Ylang-Ylang","White Musk,Patchouli",3.93,157,https://fimgs.net/mdimg/perfume/375x500.36703.jpg,https://fimgs.net/mdimg/dizajneri/m.2614.jpg
Almond Harmony The House of Oud ,The House of Oud,for women and men,"vanilla,almond,powdery,sweet,amber,balsamic,nutty,fruity,floral,warm spicy","Almond Harmony  by  The House of Oud  is a Oriental Floral fragrance for women and men.  Almond Harmony  was launched in 2016. Top notes are Almond, Orange Blossom, Bergamot and Petitgrain; middle notes are Heliotrope, Iris, Ylang-Ylang, Jasmine and Rose; base notes are Vanilla, Tonka Bean, Tolu Balsam, Peru Balsam and Musk. ",,,"Almond,Orange Blossom,Bergamot,Petitgrain","Heliotrope,Iris,Ylang-Ylang,Jasmine,Rose","Vanilla,Tonka Bean,Tolu Balsam,Peru Balsam,Musk",3.84,605,https://fimgs.net/mdimg/perfume/375x500.37818.jpg,https://fimgs.net/mdimg/dizajneri/m.2667.jpg
Youth Memory The Fragrance Kitchen ,The Fragrance Kitchen,for women and men,"warm spicy,vanilla,metallic,powdery,tobacco,leather,musky,sweet,citrus","Youth Memory  by  The Fragrance Kitchen  is a Oriental Spicy fragrance for women and men.  Youth Memory  was launched in 2013. Top note is Mandarin Orange; middle notes are Saffron and Cedar; base notes are Vanilla, Musk and Castoreum. ",,,Mandarin Orange,"Saffron,Cedar","Vanilla,Musk,Castoreum",4.07,27,https://fimgs.net/mdimg/perfume/375x500.20545.jpg,https://fimgs.net/mdimg/dizajneri/m.1551.jpg
Blessing Silence The House of Oud ,The House of Oud,for women and men,"woody,oud,rose,amber,patchouli,warm spicy,balsamic,powdery,musky,earthy","Blessing Silence  by  The House of Oud  is a Oriental Woody fragrance for women and men.  Blessing Silence  was launched in 2016. Top note is Labdanum; middle note is Patchouli; base notes are Agarwood (Oud), Rose and Sandalwood. ",,,Labdanum,Patchouli,"Agarwood (Oud),Rose,Sandalwood",3.7,211,https://fimgs.net/mdimg/perfume/375x500.37824.jpg,https://fimgs.net/mdimg/dizajneri/m.2667.jpg
Hypnotizing Fire The Harmonist ,The Harmonist,for women and men,"warm spicy,vanilla,amber,balsamic,sweet,patchouli,rose,woody,fresh","Hypnotizing Fire  by  The Harmonist  is a Oriental Floral fragrance for women and men.  Hypnotizing Fire  was launched in 2016. Top notes are Pimento, Cloves and Peppertree; middle notes are Patchouli, Bulgarian Rose and Praline; base notes are Vanilla, Opoponax and Benzoin. ","Hypnotizing Fire is a seductive fragrance that nurtures the wearer like a gentle flame. The mellow sensuality of Madagascan Vanilla and Benzoin is enriched by the subtle notes Bulgarian Rose, Indonesian Patchouli and Pimento Berries harvested under the Jamaican sun. Warm and glowing, itâ€™s an enchanting Yin scent that revives and restores.",,"Pimento,Cloves,Peppertree","Patchouli,Bulgarian Rose,Praline","Vanilla,Opoponax,Benzoin",4.3,539,https://fimgs.net/mdimg/perfume/375x500.36700.jpg,https://fimgs.net/mdimg/dizajneri/m.2614.jpg
Arabia The Fragrance Kitchen ,The Fragrance Kitchen,for women and men,"oud,woody,amber,rose,powdery,patchouli,warm spicy,musky,balsamic,earthy","Arabia  by  The Fragrance Kitchen  is a Oriental fragrance for women and men. Top note is Rose; middle notes are Amber and Sandalwood; base notes are Agarwood (Oud), Patchouli and Musk. ",,,Rose,"Amber,Sandalwood","Agarwood (Oud),Patchouli,Musk",3.79,14,https://fimgs.net/mdimg/perfume/375x500.16747.jpg,https://fimgs.net/mdimg/dizajneri/m.1551.jpg
Oud for Love The Different Company ,The Different Company,for women and men,"warm spicy,amber,woody,powdery,oud,sweet,caramel,whiskey,leather,musky","Oud for Love  by  The Different Company  is a Oriental Woody fragrance for women and men.  Oud for Love  was launched in 2012. The nose behind this fragrance is Bertrand Duchaufour. Top notes are Whiskey, Saffron, Caraway, Coriander, Angelica and Aldehydes; middle notes are Cloves, Sandalwood, Iris, Ylang-Ylang and Tuberose; base notes are Agarwood (Oud), Caramel, Amber, Castoreum, Tolu Balsam, Immortelle, Heliotrope, Vetiver and Musk. ",,Bertrand Duchaufour,"Whiskey,Saffron,Caraway,Coriander,Angelica,Aldehydes","Cloves,Sandalwood,Iris,Ylang-Ylang,Tuberose","Agarwood (Oud),Caramel,Amber,Castoreum,Tolu Balsam,Immortelle,Heliotrope,Vetiver,Musk",4.24,341,https://fimgs.net/mdimg/perfume/375x500.14695.jpg,https://fimgs.net/mdimg/dizajneri/m.472.jpg
Pure eVe The Different Company ,The Different Company,for women and men,"sweet,almond,fruity,nutty,musky,powdery,floral,yellow floral,aldehydic,woody","Pure eVe  by  The Different Company  is a Floral Woody Musk fragrance for women and men.  Pure eVe  was launched in 2011. The nose behind this fragrance is Celine Ellena. Top note is Aldehydes; middle notes are Flax, Mimosa and White Rose; base notes are Candied Almond, Musk, Sweet Notes, Dried Fruits and Cedar. ",,Celine Ellena,Aldehydes,"Flax,Mimosa,White Rose","Candied Almond,Musk,Sweet Notes,Dried Fruits,Cedar",4.03,"1,088",https://fimgs.net/mdimg/perfume/375x500.12344.jpg,https://fimgs.net/mdimg/dizajneri/m.472.jpg
Merry Poplin The Fragrance Kitchen ,The Fragrance Kitchen,for women and men,,Merry Poplin  by  The Fragrance Kitchen  is a Woody Floral Musk fragrance for women and men.  Merry Poplin  was launched in 2014. The nose behind this fragrance is Christian Carbonnel. ,,Christian Carbonnel,,,,4.06,18,https://fimgs.net/mdimg/perfume/375x500.30594.jpg,https://fimgs.net/mdimg/dizajneri/m.1551.jpg
Swietenia The Body Shop ,The Body Shop,for women and men,"citrus,white floral,vanilla,beeswax,animalic,sweet,honey,woody,amber","Swietenia  by  The Body Shop  is a Floral fragrance for women and men.  Swietenia  was launched in 2016. Top notes are Bitter Orange, Green Mandarin and Bergamot; middle notes are Orange Blossom, Beeswax and Mahogany; base notes are Vanilla, Benzoin and Cedar. ","Inspired by the world as a source of beauty, The Body Shop has launched a captivating collection of immersive eau de parfum inspired by some of the planetâ€™s most precious natural scents. Fragrances are created using non destructive ""Headspace technology"". There are five fragrances in ELIXIRS OF NATURE collection launched in 2016: Bowhanti, Nigritella, Kahaia, Swietenia and Widdringtonia.  
 The subtle floralcy of Mahogany flower combined with a sparkling breeze of orange flower and bigarade leaf result in a delicate freshness. This fragrance instantly transports you to the humid planes of Bangalore, South India, as its scent keeps you vibrant and crisp on a balmy evening.",,"Bitter Orange,Green Mandarin,Bergamot","Orange Blossom,Beeswax,Mahogany","Vanilla,Benzoin,Cedar",4.2,178,https://fimgs.net/mdimg/perfume/375x500.40896.jpg,https://fimgs.net/mdimg/dizajneri/m.281.jpg
Nigritella The Body Shop ,The Body Shop,for women and men,"vanilla,powdery,white floral,floral,sweet,tuberose,woody,musky,balsamic,citrus","Nigritella  by  The Body Shop  is a Floral fragrance for women and men.  Nigritella  was launched in 2016. Top notes are Mandarin Orange, Bergamot and Green Leaves; middle notes are Orchid, Tuberose and Jasmine; base notes are Vanilla, Sandalwood and Musk. ","Inspired by the world as a source of beauty, The Body Shop has launched a captivating collection of immersive eau de parfum inspired by some of the planetâ€™s most precious natural scents. Fragrances are created using non destructive ""Headspace technology"". There are five fragrances in ELIXIRS OF NATURE collection launched in 2016: Bowhanti, Nigritella, Kahaia, Swietenia and Widdringtonia.  
 Nigritella is luxuriant floral fusion of Red Vanilla Orchid, enhanced with a hint of tuberose and vanilla for fiery sensuality. The fragrance instantly transports you high in the Swiss Alps where this plant blooms. The profusion of hot floral exhalations, nectar and pollen makes for an opulent oriental fragrance that seduces with every breath.",,"Mandarin Orange,Bergamot,Green Leaves","Orchid,Tuberose,Jasmine","Vanilla,Sandalwood,Musk",4.11,281,https://fimgs.net/mdimg/perfume/375x500.40894.jpg,https://fimgs.net/mdimg/dizajneri/m.281.jpg
White Musk For Men The Body Shop ,The Body Shop,for men,"musky,powdery,woody,aromatic,lavender,warm spicy,vanilla,sweet,fresh spicy,amber","White Musk For Men  by  The Body Shop  is a Aromatic fragrance for men.  White Musk For Men  was launched in 2007. Top note is Lavender; middle notes are Jasmine and Geranium; base notes are Musk, Sandalwood, Tonka Bean and Vetiver. ",,,Lavender,"Jasmine,Geranium","Musk,Sandalwood,Tonka Bean,Vetiver",4.13,"1,006",https://fimgs.net/mdimg/perfume/375x500.2431.jpg,https://fimgs.net/mdimg/dizajneri/m.281.jpg
